address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
5475 Maemurray Dr,LOS ANGELES,CA,90041,415000,9452.0,,,18.0,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/5475-Maemurray-Dr-Los-Angeles-CA-90041/20844930_zpid/
2869 El Roble Dr,Los Angeles,CA,90041,310000,9587.0,,,,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/2869-El-Roble-Dr-Los-Angeles-CA-90041/95554948_zpid/
2876 El Roble Dr,Los Angeles,CA,90041,275000,8067.0,,,49.0,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/2876-El-Roble-Dr-Los-Angeles-CA-90041/250224682_zpid/
1532 N Avenue 46,LOS ANGELES,CA,90041,916000,1879.0,4.0,2.0,711.0,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/1532-N-Avenue-46-Los-Angeles-CA-90041/20764982_zpid/
1 Scholl Canyon Rd,Eagle Rock,CA,90041,72000,,,,151.0,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/1-Scholl-Canyon-Rd-Eagle-Rock-CA-90041/2092025962_zpid/
4631 Loleta Pl,Los Angeles,CA,90041,170000,4360.0,,,,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/4631-Loleta-Pl-Los-Angeles-CA-90041/2087698279_zpid/
996 N Rockdale Ave,Los Angeles,CA,90041,225000,7117.0,,,,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/996-N-Rockdale-Ave-Los-Angeles-CA-90041/2087730698_zpid/
978 Glen Arbor Ave,Los Angeles,CA,90041,226500,9130.0,,,342.0,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/978-Glen-Arbor-Ave-Los-Angeles-CA-90041/2091007922_zpid/
4637 Loleta Pl,Los Angeles,CA,90041,195000,5649.0,,,,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/4637-Loleta-Pl-Los-Angeles-CA-90041/2087698223_zpid/
977 Glen Arbor Ave,Los Angeles,CA,90041,168500,6791.0,,,342.0,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/977-Glen-Arbor-Ave-Los-Angeles-CA-90041/2091008117_zpid/
988 N Rockdale Ave,Los Angeles,CA,90041,225000,7357.0,,,,Lot / Land for sale,http://www.zillow.com/homes/for_sale//homedetails/988-N-Rockdale-Ave-Los-Angeles-CA-90041/2087730687_zpid/
Yosemite Dr,Los Angeles,CA,90041,,6830.0,0.0,,186.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/247444779_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Chickasaw Ave,LOS ANGELES,CA,90041,,1290.0,3.0,3.0,262.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/205128313_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Linda Rosa Ave,Los Angeles,CA,90041,,986.0,3.0,1.0,358.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/242559199_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
